id,code,descripcion,similar
0,10102100,Huevos de aves para incubar,
1,10121500,Pienso para ganado,Alimento para ganado
2,10121501,Salvado de trigo puro,
3,10121502,Avena para forraje,
4,10121503,Maíz para forraje,
5,10121504,Sorgo para forraje,
6,10121505,Heno,
7,10121506,Tortas oleaginosas,Torta de aceite para ganado
8,10121507,Forraje compuesto,
9,10121600,Alimento para pájaros y aves de corral,
10,10121601,Alimento vivo para aves,
11,10121602,Alpiste,
12,10121603,Botanas o comida recreacional para aves,
13,10121604,Alimento avícola,
14,10121700,Alimento para peces,
15,10121701,Salmuera fresca o congelada,
16,10121702,Alimento granulado para peces,
17,10121703,Alimento en hojuelas para peces,
18,10122100,Comida para animales variados,Comida para diversos animales
19,10122101,Comida para cerdos,"Comida para chanchos, Comida para cochinillos, Comida para cochinos, Comida para cuche, Comida para cuinos, Comida para gorrinos, Comida para lechones, Comida para marranos, Comida para porcinos, Comida para puercos, Comida para lechones"
20,10122102,Comida para visones,
21,10122103,Comida para monos,
22,10122104,Comida para conejos,
23,10151500,Semillas y plántulas vegetales,Semillas y vástagos vegetales
24,10151501,Semillas o plántulas de fríjol,"Semillas o vástago primario de fríjol, Semillas o vástago primario de fríjol blanco, Semillas o vástago primario de fríjol negro, Semillas o vástago primario de fríjol rojo adzuki"
25,10151502,Semillas o plántulas de zanahoria,Semillas o vástago primario de zanahoria
26,10151503,Semillas o plántulas de apio,Semillas o vástago primario de apio
27,10151504,Semillas o plántulas de chiles,Semillas o vástago primario de chiles
28,10151505,Semillas o plántulas de calabacín,Semillas o vástago primario de calabacín
29,10151506,Semillas o plántulas de alverja,"Semillas o vástago primario de chícharo, Semillas o vástago primario de guisante"
30,10151507,Semillas o plántulas de pepino cohombro,Semillas o vástago primario de pepino cohombro
31,10151508,Semillas o plántulas de berenjena,Semillas o vástago primario de berenjena
32,10151509,Semillas o plántulas de endivias,Semillas o vástago primario de endivias
33,10151510,Semillas o plántulas de ajo,Semillas o vástago primario de ajo
34,10151511,Semillas o plántulas de puerro,Semillas o vástago primario de puerro
35,10151512,Semillas o plántulas de lechuga,Semillas o vástago primario de lechuga
36,10151513,Semillas o plántulas de maíz,Semillas o vástago primario de maíz
37,10151514,Semillas o plántulas de melón,Semillas o vástago primario de melón
38,10151515,Semillas o plántulas cebolla,Semillas o vástago primario de cebolla
39,10151516,Semillas o plántulas de soya,Semillas o vástago primario de soya
40,10151517,Semillas o plántulas de espinaca,Semillas o vástago primario de espinaca
41,10151518,Semillas o plántulas de tomate,Semillas o vástago primario de tomate
42,10151519,Semillas o plántulas de nabo,Semillas o vástago primario de nabo
43,10151520,Semillas o plántulas de acelga,Semillas o vástago primario de acelga
44,10151521,Semillas o plántulas de pimiento morrón,Semillas o vástago primario de pimiento morrón
45,10151522,Semillas o plántulas de remolacha,Semillas o vástago primario de betabel
46,10151523,Semillas o plántulas de coliflor,Semillas o vástago primario de coliflor
47,10151524,Semillas o plántulas de perejil,Semillas o vástago primario de perejil
48,10151525,Semillas o plántulas de brócoli,Semillas o vástago primario de brócoli
49,10151526,Semillas o plántulas de repollo,Semillas o vástago primario de col
50,10151527,Semillas o plántulas de papa,Semillas o vástago primario de patata
51,10151528,Semillas o plántulas de batata,Semillas o vástago primario de camote
52,10151529,Semillas o plántulas de calabaza,Semillas o vástago primario de calabaza
53,10151530,Semillas o plántulas de rábano,"Semillas o vástago primario de rabanito, Semillas o vástago primario de rábano"
54,10151531,Semillas o plántulas de repollitos de bruselas,Semillas o vástago primario de col de Bruselas
55,10151532,Semillas o plántulas de ahuyama,Semillas o vástago primario de calabaza de castilla
56,10151533,Semillas o plántulas de okra,Semillas o vástago primario de okra
57,10151534,Semillas o plántulas de melón cantalupo,Semillas o vástago primario de melón cantalupo
58,10151535,Semillas o plántulas de maní,Semillas o vástago primario de cacahuate
59,10151536,Semillas o plántulas de caigua,Semillas o vástago primario de caigua
60,10151537,Semillas o plántulas de espárrago,Semillas o vástago primario de espárrago
61,10151538,Semillas o plántulas de garbanzo,Semillas o vástago primario de garbanzo
62,10151539,Semillas o plántulas de haba,Semillas o vástago primario de haba
63,10151600,Semillas de cereales,
64,10151601,Semillas de trigo,
65,10151602,Semillas de canola,Semillas de colza
66,10151603,Semillas de cebada,
67,10151604,Semillas de mijo,
68,10151605,Semillas de avena,
69,10151606,Semillas de ajonjolí,Semillas de sésamo
70,10151607,Semillas de linaza,Semillas de lino
71,10151608,Semillas de aceite de ricino,Semillas de ricino
72,10151609,Semillas de maíz,
73,10151610,Semillas de centeno,
74,10151611,Semillas de sorgo,
75,10151612,Semillas o plántulas de kiwicha,Semillas o vástagos de amaranto
76,10151613,Semillas o plántulas de quínoa,Semillas o vástagos de quinua
77,10151700,Semillas y plántulas de hierba y forraje,Semillas y vástagos de hierba y forraje
78,10151701,Semillas o plántulas de arroz,
79,10151702,Semillas o plántulas de trébol,
80,10151703,Semillas o plántulas de alfalfa,
81,10151704,Semillas o plántulas de pasto,Semillas o vástagos para césped
82,10151705,Semillas o plántulas de veza (gachas / guija),
83,10151706,Semillas o plántulas de guar,
84,10151800,Semillas y plántulas de especias,Semillas y vástagos de especias
85,10151801,Semillas o plántulas de pimienta,
86,10151802,Semillas o plántulas de vainilla,
87,10151803,Semillas o plántulas de canela,
88,10151804,Semillas o plántulas de clavo de olor,
89,10151805,Semillas o plántulas de cilantro,
90,10151806,Semillas o plántulas de jengibre,
91,10151807,Semillas o plántulas de azafrán,
92,10151808,Semillas o plántulas de tomillo,
93,10151809,Semillas o plántulas de curry,Semillas o vástagos de curri
94,10151810,Semillas o plántulas de mostaza,
95,10151811,Semillas o plántulas de ginseng,
96,10151812,Semillas o plántulas de champiñones,
97,10151813,Semillas o plántulas de sacha inchi,
98,10151814,Semillas o plántulas de achiote,
99,10151815,Semillas o plántulas de kudzu,
100,10151816,Semillas o plántulas de albahaca,
101,10151817,Semillas o plántulas de anís,Semillas o vástago de badiana
102,10151900,"Semillas, bulbos, plántulas y esquejes de flores","Semillas, bulbos, vástagos y codos de flores"
103,10151901,"Semillas, bulbos, plántulas o esquejes de tulipán",
104,10151902,"Semillas, plántulas o esquejes de rosa",
105,10151903,"Semillas, bulbos, plántulas o esquejes de narciso",
106,10151904,Semillas de girasol,"Semillas de acahual, Semillas de mirasol"
107,10151905,Bulbos o tallos de jacinto,
108,10151906,Bulbos de lirio,
109,10151907,Semillas o plántulas de veza,
110,10152000,Semillas y esquejes de árboles y arbustos,
111,10152001,Semillas o esquejes de árboles frutales,
112,10152002,Semillas o esquejes de coníferas,
113,10152003,Semillas o esquejes de árboles de frutos secos,
114,10152004,Plántulas de latifoliados,
115,10152005,Plántulas de coníferas,
116,10152006,Semillas o yemas de pino,
117,10152007,Semillas o yemas de algarrobo,
118,10152100,Residuos que no sean de piensos,Residuos que no sean alimento
119,10152101,Extracción de los residuos de semilla de babool,
120,10152102,Residuos de semilla de colza,
121,10152103,Residuo de semillas de linaza,
122,10152104,Torta de neem,
123,10152200,Semillas de cultivos fibrosos y semilleros,
124,10152201,Semillas o plántulas de algodón,
125,10152202,Semillas o plántulas de lino,Semillas o vástago de linaza
126,10152300,Plántulas y semillas de leguminosas,
127,10152400,Plántulas y semillas de tubérculos,
128,10161500,Árboles y arbustos,
129,10161501,Aceitunos,
130,10161502,Cafetos,
131,10161503,Cacaoteros,Cocoa
132,10161504,Manzanos,
133,10161505,Peros,
134,10161506,Naranjos,
135,10161507,Rododendros,Azaleas
136,10161508,Plantas de te,
137,10161509,Coníferas,
138,10161510,Abetos rojos (píceas),Abetos falsos
139,10161511,Pinos,
140,10161512,Abetos,
141,10161513,Palmeras,
142,10161514,Casuarina,Roble hembra
143,10161515,Ciprés,
144,10161516,Eucalipto,
145,10161517,Árbol de quinua,Árbol de quina
146,10161518,Magnolio,
147,10161519,Mioporo,Siempreverde
148,10161520,Acalifa,Cola de zorro roja
149,10161521,Tecomaria capensis o madreselva del cabo,Bignonia roja
150,10161522,Arbusto croton bolaina,Croton variegado
151,10161523,Abutillón,Malva
152,10161524,Ficus,Higuera
153,10161525,Lúcumo,
154,10161526,Aguacatal,
155,10161527,Guanábano,
156,10161528,Carambolo,Membrillo torombolo
157,10161529,Ciruelo,
158,10161530,Árbol de quince,Árbol de membrillo
159,10161600,Plantas florales,"Agave, Caña de azúcar, Maguey"
160,10161602,Poinsettias,Nochebuena
161,10161604,Azaleas,
162,10161605,Cactos,"Cactus, Nopal"
163,10161606,Ageratum púrpura,Agérato mexicano
164,10161800,Plantas sin flor,
165,10161801,Helechos,
166,10161802,Hiedras,
167,10161803,Filodendros,Trepadora
168,10161804,Líquenes,
169,10161805,Vides,"Parra, Vid"
170,10161900,Productos florales secos,
171,10161901,Vainas secas,
172,10161902,Follaje seco,
173,10161903,Helechos secos,
174,10161905,Ramas y tallos secos,
175,10161906,Penachos de gramíneas secos,
176,10161907,Flores secas prensadas,
177,10161908,Pétalos secos,
178,10171500,Abonos orgánicos y nutrientes para plantas,
179,10171501,Estiércol o guano,
180,10171502,Hormonas para plantas,
181,10171503,Harina de pescado,
182,10171504,Abono,
183,10171505,Nutriente foliar,
184,10171506,Humus,
185,10171600,Abonos químicos y nutrientes para plantas,
186,10171601,Fertilizante nitrogenado,
187,10171602,Fertilizante de potasio,
188,10171603,Fertilizante de fósforo,
189,10171604,Fertilizante de sulfuro,
190,10171605,Mezclas de nitrógeno – fósforo – potasio – npk,
191,10171606,Fertilizarte de sílice puro,
192,10171607,Fertilizante con magnesio,
193,10171608,Fertilizante micro elemento,
194,10171609,Fertilizante fosfato de sílice,
195,10171610,Fertilizante potasio de sílice,
196,10171611,Fertilizante de calcio,
197,10171700,Herbicidas,
198,10171701,Matamalezas,
199,10171702,Fungicidas,
200,10171800,Acondicionadores de suelos,
201,10171801,Acondicionador orgánico de suelos,
202,10171802,Acondicionador inorgánico de suelos,
203,10191500,Pesticidas o repelentes de plagas,
204,10191506,Mata – roedores,Veneno para roedores
205,10191507,Repelentes de aves,
206,10191508,Protectores contra termitas,
207,10191509,Insecticidas,
208,10191510,Abamectina,
209,10191511,Fipronil,
210,10191700,Dispositivos para control de plagas,
211,10191701,Trampas para control animal,
212,10191703,Trampas para el control de insectos voladores,
213,10191704,Matamoscas,
214,10191705,Lazos,
215,10191706,Cepos,Ratoneras
216,10191707,Repelente ultrasónico de pestes,Ahuyentador Ultrasónico
217,11101500,Minerales,
218,11101501,Mica,
219,11101502,Lija o esmeril,Esmeril mineral
220,11101503,Cuarzo,Óxido de silicio
221,11101504,Pirita,Disulfuro de hierro
222,11101505,Azufre o sulfuro,
223,11101506,Tiza,"Barra de yeso, Creta, Gi"
224,11101507,Grafito,
225,11101508,Dolomita,Caliza de magnesio
226,11101509,Magnesita,Giobertita
227,11101510,Asbesto (amianto),
228,11101511,Calcio,
229,11101512,Borato,
230,11101513,Criolita,Hexafluoroaluminato de sodio
231,11101514,Feldespato,
232,11101515,Leucita,
233,11101516,Nefelita,Nefelina
234,11101517,Esteatita,Piedra jabón
235,11101518,Talco,
236,11101519,Diamante en bruto,
237,11101520,Granates,
238,11101521,Carburo de silicio,"Carborundio, Carborundo"
239,11101522,Carbón activado,Carbón activo
240,11101523,Mulita,"Porcelainita, Porcelanita"
241,11101524,Fluorita,"Espato flúor, Fluorina"
242,11101525,Kieserita,
243,11101526,Carnalita,Cornalina
244,11101527,Sílice de diatomeas,Tierra de diatomeas
245,11101528,Óxido de aluminio activado,
246,11101529,Zeolita,
247,11101530,Calcita,
248,11101531,Serpentina,Serpentina (mineral)
249,11101532,Peridoto,"Crisolito, Olivino"
250,11101533,Pirofilita,
251,12352132,Triclosán,
252,12352133,Condicionador de congelación,
253,12352135,Glicol propileno,
254,12352136,Glicol trietileno,
255,12352137,Glicol etileno,
256,12352200,Productos bioquímicos,
257,12352201,Carbohidratos o sus derivados,
258,12352202,Proteínas,
259,12352203,Anticuerpos,
260,12352204,Enzimas,
261,12352205,Nutrientes,
262,12352206,Tejidos,
263,12352207,Cultivos y fluidos,
264,12352208,Ácido nucleico,
265,12352209,Aminoácidos o sus derivados,
266,12352210,Alcaloides,
267,12352211,Grasas o lípidos,
268,12352212,Terpenoides,
269,12352300,Compuestos inorgánicos,
270,12352301,Ácidos inorgánicos,
271,12352302,Sales metálicas inorgánicas,
272,12352303,Óxidos inorgánicos,
273,12352304,Peróxidos inorgánicos,
274,12352305,Hidróxidos inorgánicos,
275,12352306,Hídridos inorgánicos,
276,12352307,Halidos ácidos o sus sustitutos,
277,12352308,Silicatos,
278,12352309,Sílice,
279,12352310,Siliconas,
280,12352311,Alúmina y otros compuestos de aluminio,
281,12352312,Permanganato de potasio,
282,12352313,Ácido trifluoroacético tfa,
283,12352314,Sulfato de amonio,
284,12352315,Caucho de silicona líquida,
285,12352316,Hidróxido de sodio,
286,12352317,Fluoruro de aluminio,
287,12352318,Fluoruro de calcio,
288,12352319,Hidróxido de calcio,
289,12352320,Hidróxido de potasio,
290,12352321,Glicol acetileno,
291,12352400,Mezclas,
292,12352401,Mezclas químicas orgánicas,
293,12352402,Mezclas químicas inorgánicas,
294,12352500,Fijadores,
295,12352501,Formaldehidos,
296,12352502,Glutarales,
297,12352503,Taninos,
298,13111103,Rosina aceite de pino,Resina de aceite de pino
299,15101500,Petróleo y Destilados,
300,15101502,Kerosene,
301,15101503,Nafta,
302,15101504,Combustible de aviación,
303,15101505,Combustible diesel,
304,15101507,Benceno,hidrocarburo aromático
305,15101508,Petróleo crudo,
306,15101509,Combustible marítimo,
307,15101510,Condensado,
308,15101511,Etanol,
309,15101512,Coque de petróleo o petcoke,
310,15101513,Combustible diesel para uso fuera de carretera,
311,15101514,Gasolina regular menor a 91 octanos,
312,15101515,Gasolina premium mayor o igual a 91 octanos,
313,15101600,Combustibles sólidos o gelificados,
314,15111507,Gas de agua o gas productor,
315,15111508,Gas de carbón,
316,15111509,Gas metilacetileno propadieno mapp,
317,15111510,Gas licuado de petróleo,Gas LP
318,15111511,Gas natural licuado gnl,
319,15111512,Gas natural,
320,15111700,Aditivos para carburante,
321,15111701,Espesantes de combustible,
322,15111702,Inhibidores de hielo para sistemas de combustibles,
323,15121500,Preparados lubricantes,
324,15121501,Aceite motor,
325,15121502,Aceite de corte,
326,15121503,Aceite de engranajes,
327,15121504,Aceite hidráulico,
328,15121505,Aceite de transformador o aislador,
329,15121508,Aceite de transmisión,
330,15121509,Aceite de frenos,
331,15121510,Anti – excoriación,
332,15121511,Pastas de ensamble,
333,15121512,Anti adhesivos,
334,15121513,Lubricantes de grafito,
335,15121514,Lubricantes espray,
336,15121515,Compuestos anti – adherentes o anti – manchas,
337,15121516,Eliminador de fugas,
338,15121517,Jabones lubricantes,
339,15121518,Fluidos de amortiguación,
340,15121519,Aceites de lubricación de relojes,
341,15121520,Lubricantes de propósito general,
342,15121521,Aceites para lubricación de bombas,
343,15121522,Aceites para lubricación de armas,
344,15121523,Fluidos para preparación de lentes,
345,15121524,Aceites de templado,
346,15121525,Aceite atemperante,Aceites de enfriamiento
347,15121526,Lubricantes para equipo de procesamiento de alimentos,
348,15121527,Aceite de turbina,
349,15121528,Fluido hidráulico resistente al fuego,
350,15121529,Aceite para máquinas de refrigeración,
351,15121530,Aceite o fluido de transferencia de calor,
352,15121800,Anticorrosivos,
353,15121801,Repelente de humedad,
354,15121802,Lubricante anti – corrosión,
355,15121803,Removedor de óxido,
356,15121804,Preparación contra óxido,
357,15121805,Pastas anti – soldado,
358,15121806,Aceites penetrantes,
359,15121807,Anticongelante,
360,15121900,Grasas,
361,15121901,Grasa de silicona,
362,15121902,Grasa,
363,15121903,Grasa fluoropolímero,
364,15121904,Grasa de lana,
365,15121905,Grasa térmica,
366,15131500,Combustible nuclear,
367,15131502,Uranio empobrecido,
368,15131503,Uranio enriquecido,
369,15131504,Iridio,
370,15131505,Plutonio enriquecido,
371,15131506,Plutonio empobrecido,
372,15131600,Instalación de combustible de fisión,
373,15131601,Barra de combustible nuclear,
374,20101500,Equipo de corte,
375,20101501,Equipo de minería continua,
376,20101502,Cizallas de pared alta,
377,20101503,Cortadores de carbón,
378,20101504,Cortadores de roca,
379,20101505,Cadena de corte para minería,
380,20101506,Barra de corte,
381,20101600,Cribas y equipos de alimentación,
382,20101601,Pantallas,
383,20101602,Alimentadores,
384,20101603,Pantalla de hoyo de desagüe,
385,20101617,Motorreductor,
386,20101618,Canaleta alimentadora,
387,20101619,Banda alimentadora para pesar,
388,20101620,Vibro – alimentador electromagnético,
389,20101621,Vibro – alimentador electromecánico,
390,20101700,"Trituradoras, quebrantadoras y amoladores",
391,20101701,Trituradores de roca,
392,20101702,Trituradores de rollo,
393,20101703,Trituradores de cono,
394,20101704,Trituradores giratorios,
395,20101705,Trituradores de impacto,
396,20101706,Trituradores de mandíbula,
397,20101707,Plantas de trituración,
398,20101708,Molino de varilla,
399,20101709,Molino de bola,
400,20101710,Maquinaria de pulverización,
401,20101711,Rompedores de roca,
402,20101712,Moledores de roca,
403,20101713,Moledoras de ciclón o vórtex,"Molinos de ciclón o vórtices, Rectificadoras de ciclones o vórtices"
404,20101714,Placas de mandíbula,
405,20101715,Broca trituradora,
406,20101716,Martillo triturador,
407,20101800,Sistemas mecanizados de soporte en tierra,
408,20101801,Apernador de cable,
409,20101802,Apernador de tijera,
410,20101803,Apernador de boom,
411,20101804,Equipo para aplicar concreto lanzado o shotcrete,"Equipo de proyección de hormigón proyectado, Equipos de pulverización de hormigón proyectado"
412,20101805,Repuestos o accesorios de sistema mecanizado de soporte en tierra,
413,20101810,Conmutadores,
414,20101900,Sistemas secundarios de ruptura de roca,
415,20101901,Sistema blockholer o taladro y cargue,Sistemas de perforación y carga
416,20101902,Sistemas de impacto repetitivo,
417,20101903,Repuestos o accesorios de sistema secundario de ruptura de roca,
418,20102000,Sistemas de exploración y desarrollo,
419,20102001,Taladros de barreno profundo en el hoyo ith o abajo del hoyo dth,
420,20102002,Taladros de barreo profundo de martillo superior,
421,20102003,Jumbos neumáticos para perforación de pozos,Eje neumático hundimiento jumbos
422,20102004,Jumbos hidráulicos para perforación de pozos,
423,20102005,Jumbos neumáticos de desarrollo horizontal,
424,20102006,Jumbos hidráulicos de desarrollo horizontal,
425,20102007,Taladros de núcleo,
426,20102008,Repuestos o accesorios de sistema de exploración o desarrollo,
427,20102100,Barrenas de rocas,
428,20102101,Taladros de roca neumáticos,
429,20102102,Taladros de roca hidráulicos,
430,20102103,Taladros de roca manuales,
431,20102104,Repuestos y accesorios de taladros de roca,
432,20102105,Broca o barrena de acero,
433,20102106,Broca o barrena de vacío,
434,20102200,Maquinaria de cargue de explosivos,
435,20102201,Maquinaria para cargar nitrato de amonio y fuel oil - anfo,
436,20102202,Maquinaria para cargar emulsión,
437,20102203,Repuestos y accesorios para maquinaria de cargue de explosivos,Repuestos y accesorios para maquinaria de carga de explosivos
438,20102300,Vehículos de servicio de minería subterránea,
439,20102301,Transporte de personal,
440,20102302,Vehículos grúa,
441,20102303,Cama bajas para el transporte de material,
442,20102304,Transportadores de carga a granel,
443,20102305,Vehículos utilitarios,
444,20102306,Vehículos de plataforma elevable o elevadores de tijera,
445,20102307,Repuestos o accesorios de vehículo de servicio minero subterráneo,
446,20111500,Equipo de exploración y perforación,
447,20111504,Equipos para perforar pozos de agua,
448,20111505,Equipo para la exploración de uranio,
449,20111600,Maquinaria de perforación y explotación,
450,20111601,Maquinaria de sondeo o de perforación,
451,20111602,Maquinaria de ensamble en fondo de pozo,
452,20111603,Martillos perforadores,
453,20111604,Taladro sobre orugas,
454,20111606,Vibradores neumáticos,
455,20111607,Maquinaria para hacer túneles,
456,20111608,Martillos de poder,
457,20111609,Taladro de platina,
458,20111610,Maquinaria de inspección de alcantarillas,
459,20111611,Taladros giratorios,
460,20111612,Taladros de perforación de pozos,
461,20111613,Taladros de barreno profundo,Taladros para agujeros profundos
462,20111614,Brocas industriales,
463,20111615,Perforadora de avance,
464,20111616,Torre de perforación,
465,20111617,Carros de perforación,
466,20111618,Caña de pecar de fondo de pozo,
467,20111619,Cono de perforación de pozos,
468,20111620,Agarre de martillo,
469,20111621,Oscilador de revestimiento,
470,20111622,Taladro de circulación reversa,Taladro de circulación inversa
471,20111623,Almeja de diafragma de muro,Cubierta de pared de diafragma
472,20111700,Accesorios de perforación y explotación,
473,20111701,Instrumentos audiovisuales para inspección de pozos,
474,20111702,Tapones o anclajes de tubos,
475,20111703,Recubrimientos de perforación,
476,20111704,Pantallas de perforación,
477,20111705,Puntos de pozo,
478,20111706,Cuñas de perforación,
479,20111707,Adaptadores de herramientas de perforación,
480,20111708,Columnas de perforación,
481,20111709,Herramientas o kits de accesorios para perforar pozos,
482,20111710,Kit de reparación de tapones y tuberías de perforación,
483,20111711,Partes y accesorios de tuberías de perforación,
484,20111712,Tubo de lavado,
485,20111713,Mástil de perforación,
486,20111714,Conector de tubería flexible,
487,20111715,Recubrimiento de tajo del sitio del pozo,
488,20121000,Equipo acidificante,
489,20121001,Unidades de mezcla acidificante,
490,20121002,Sensores de densidad acidificante,
491,20121003,Unidades de bombeo acidificante,"Maquina de bombeo acidificante, Unidades de bombeo de acidificación"
492,20121004,Unidades acidificantes,"Maquina acidificantes, Unidades de acidificación"
493,20121005,Tubería de aire acidificante,
494,20121006,Inyectores de bola acidificantes,
495,20121007,Equipo de ácido líquido a granel,
496,20121008,Cajas de gota acidificante,
497,20121009,Medidores de acidificación,
498,20121010,Cajas de unión de acidificación,"Cajas de conexiones acidificantes, Cajas de empalme de acidificación"
499,20121011,Sensores de presión de acidificación,
500,20121012,Tubería de proceso acidificante,
501,20121013,Uniones estrechas de acidificación,
502,20121014,Pivotes de acidificación,
503,20121015,Hierros de tratamiento de acidificación,
504,20121016,Protectores de árboles de acidificación,
505,20121100,Equipo para cementar,
506,20121101,Unidades de mezclado,Maquina de mezclado
507,20121102,Tapones de puente,
508,20121103,Equipo de cemento líquido a granel,
509,20121104,Equipo de material de cemento a granel,Equipo de materiales a granel de cemento
510,20121105,Sensores de densidad del cemento,
511,20121106,Unidades de flotación de cemento a granel,Maquina de flotación de cemento a granel
512,20121107,Herramientas de flotación de cemento,
513,20121108,Tapones limpiadores de equipo de flotación de cemento,
514,20121109,Unidades de bombeo de cemento,Maquina de bombeo de cemento
515,20121110,Retenedores de cemento,
516,20121111,Centralizadores,
517,20121112,Acoples de pestillo expreso,
518,20121113,Collares de flotación,
519,20121114,Zapatas de flotación,
520,20121115,Herramientas para cementación de campos petroleros,
521,20121116,Tapones recuperables de cementación,
522,20121118,Cabezales de cemento bajo el mar,
523,20121119,Cabezales de cemento en superficie,
524,20121120,Centralizador de arco,
525,20121121,Centralizador de cuchilla,
526,20121122,Centralizador sub de arco,
527,20121123,Kit de herramientas de cementación,Equipo de herramientas de cementación
528,20121124,Kit de equipo de flotación de cemento,Equipo  de flotación de cemento
529,20121125,Kit de retención de cemento,Equipo retención de cemento
530,20121126,Partes y accesorios del centralizador,
531,20121127,Estabilizador,
532,20121128,Herramienta de torque y arrastre de reducción,
533,20121129,Partes y accesorios de la herramienta de torque y arrastre de reducción,
534,20121130,Partes y accesorios del tapón de puente,
535,20121200,Equipo de fracturar,
536,20121201,Equipo de fractura líquida a granel,
537,20121202,Equipo de fractura a granel usando unidades de soporte,
538,20121203,Unidades de control de fracturación,Maquina de control de fracturación
539,20121204,Sensores de densidad de fracturación,
540,20121205,Unidades múltiples de fracturación,
541,20121206,Equipo de transporte de fracturación usando unidades de soporte,
542,20121207,Unidades de bombeo de fracturación,Maquina de bombeo de fracturación
543,20121208,Unidades de mezclado de lechada fracturación,Maquina de mezclado de lechada fracturación
544,20121209,Unidades de mezcla de gel,Maquina  de mezcla de gel
545,20121210,Misiles de fracturación,Unidades de fusión del gel
546,20121211,Monitores de integridad de bombeo,
547,20121212,Tapones de servicio de fracturación,
548,20121213,Unidades de estimulación de bombeo,
549,20121300,Equipo de control de arena,
550,20121301,Tapones obturadores,Unidades de bombeo de estimulación
551,20121302,Flotadores,
552,20121303,Sistemas frac pack,
553,20121304,Sistemas paquete de gravilla,Sistemas de embalaje Frac
554,20121305,Zapatas guía,Sistemas de paquete de Frac
555,20121306,Boquillas de acometida,Sistemas de embalaje de grava
556,20121307,Acoples de conformación,Sistemas de paquete de grava
557,20121308,Rebosamientos de tuberías de producción,
558,20121309,Obturadores de control de arena,
559,20121310,Equipo de granel líquido para control de arena,
560,20121311,Equipo que usa unidades de soporte para control de arena a granel,Equipos de apoyo a granel de control de arena
561,20121312,Sensores de densidad de control de arena,
562,20121313,Unidades múltiples de control de arena,Maquina múltiple de control de arena
563,20121314,Equipo de transporte de arena usando unidades de soporte,
564,20121315,Unidades control de bombeo de arena,
565,20121316,Pantallas de control de arena,
566,20121317,Unidades de mezclado de lechada control de arena,Maquina de mezclado de lechada control de arena
567,20121318,Detectores de arena,
568,20121319,Localizadores de ensamble de sello,
569,20121320,Uniones de cizalla,"Empalmes de esquileo, Juntas de corte"
570,20121321,Herramientas de levantamiento de manga,
571,20121322,Mangas deslizantes,Herramientas de desplazamiento para sistemas de manguitos
572,20121323,Cuerdas de velocidad,Cadenas de velocidad
573,20121324,Anillo de control de arena,
574,20121325,Patrón de tubo muescado,"Patrón de tubería ranurada, Patrón de tubo ranurado"
575,20121326,Partes y accesorios de pantalla de control de arena,
576,20121400,Herramientas y equipo de terminación,Herramientas y equipo de acabado
577,20121401,Subs de atrapado de bola,
578,20121402,Uniones de voladura,
579,20121403,Boquillas de voladura,
580,20121404,Tapón calibrador de cierre,
581,20121405,Dispositivos de circulación de producción,
582,20121406,Equipo de prueba de culminación,
583,20121407,Protectores de línea de control,
584,20121408,Herramientas de deflexión,
585,20121409,Uniones de expansión de culminación,
586,20121410,Acoples de flujo,
587,20121411,Equipo de elevación de gas,
588,20121412,Herramientas de estabilización de colgador,
589,20121413,Bombas hidráulicas de culminación,
590,20121414,Herramientas hidráulicas de curado,
591,20121415,Sistemas de inyección,
592,20121416,Boquillas de estabilización,
593,20121417,Colgadores de línea,
594,20121418,Herramientas de halar tapones,
595,20121419,Herramientas de correr tapones,
596,20121420,Tapones de producción,
597,20121421,Equipos de bombeo a través de la línea de flujo,
598,20121422,Uniones de seguridad de culminación,
599,20121423,Ensambles de sello de culminación,
600,20121424,Sello hoyo u hoyo pulido,
601,20121425,Mandriles de bolsillos laterales,
602,20121427,Válvulas de seguridad sub – superficie,
603,20121428,Uniones de desplazamiento,
604,20121429,Anclajes de tubería,
605,20121430,Ensamblajes de flujo paralelo,
606,20121431,Tapón inflable,"Embalador inflable, Empacador inflable"
607,20121432,Partes y accesorios de válvula de control de pozo,
608,20121433,Kit de reparación de culminación de hoyo revestido,"Equipo de reparación de culminación de hoyo revestido, Equipo de reparación de terminación de entubado"
609,20121434,Kit de reparación de manga deslizante,Equipo de reparación de mango deslizante
610,20121435,Kit adaptador de fraguado,"Equipo adaptador de ajuste, Equipo adaptador de fraguado"
611,20121436,Partes y accesorios para el sistema de muelle de pistón,
612,20121437,Partes y accesorios para las válvulas de seguridad de sub – superficie,
613,20121438,Partes y accesorios para válvula de muelle de  gas,
614,20121439,Mandril tapón de producción,
615,20121440,Sub tapón de revestimiento del anillo,
616,20121441,Herramienta de fraguado del revestimiento,
617,20121442,Bloque de arrastre,
618,20121443,Kit de herramientas de fraguado de tapón de revestimiento,Equipo de herramientas de fraguado de tapón de revestimiento
619,20121444,Kit de reparación del sistema de revestimiento,Equipo de reparación del sistema de revestimiento
620,20121445,Accesorios y partes,"Accesorios y piezas de empacador de producción, Piezas y accesorios de embalaje de producción"
621,20121446,Tapón superior revestimiento,
622,20121447,Collar fraguado del revestimiento,
623,20121448,Junk bonnet,
624,20121449,Equipo de muelle de pistón,
625,20121450,Mandril muelle de gas,
626,20121451,Válvula muelle de gas,
